[MSE 31-10-2021 18:50:29] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 19:40:16] SUCCESS | Connect :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 19:40:16] INFO | Client connect to stream d2cb81b0-7f35-4787-8fc8-a31d7aeebc39
[MSE 31-10-2021 19:41:41] INFO | Reconnect :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 19:41:44] SUCCESS | Connect :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 19:42:18] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 19:50:50] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 19:52:43] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 19:55:06] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 19:57:33] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:08:40] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:17:48] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:42:57] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:45:52] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:48:51] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:50:36] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:51:13] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:52:12] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:52:35] SUCCESS | Connect :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:52:36] INFO | Client connect to stream 52b8ea79-0657-4f58-8db7-63ab7fac7db2
[MSE 31-10-2021 20:53:09] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:53:25] SUCCESS | Connect :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:53:25] INFO | Client connect to stream 9accf22f-064d-434f-bff7-9fa0643e2bc7
[MSE 31-10-2021 20:57:34] INFO | Push :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:57:45] SUCCESS | Connect :rtsp://view:123456789zz@10.20.62.67:554/cam/realmonitor?channel=1&subtype=0&unicast=true
[MSE 31-10-2021 20:57:46] INFO | Client connect to stream 329c0823-edc6-4b4a-bfb5-97aced656804
[MSE 31-10-2021 20:57:59] INFO | Client disconnect to stream 329c0823-edc6-4b4a-bfb5-97aced656804
[MSE 31-10-2021 20:57:59] INFO | Connect clients is 0
